DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DK,2012,2467.764,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DK,2013,3173.545,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DK,2014,2533.670,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DK,2015,1817.650,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DK,2016,2004.774,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DK,2017,1535.847,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DK,2018,1562.979,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DK,2019,872.696,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DK,2020,712.250,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EA19,2011,152570.268,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EA19,2012,159101.065,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EA19,2013,154701.105,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EA19,2014,148113.975,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EA19,2015,150034.259,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EA19,2016,140757.209,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EA19,2017,135677.102,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EA19,2018,128567.501,
