DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EL,2011,216.572,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EL,2012,227.248,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EL,2013,212.366,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EL,2014,232.365,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EL,2015,224.437,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EL,2016,198.611,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EL,2017,195.667,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EL,2018,281.631,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EL,2019,198.274,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EL,2020,167.422,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,ES,2011,813.110,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,ES,2012,524.774,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,ES,2013,456.502,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,ES,2014,444.251,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,ES,2015,432.830,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,ES,2016,407.208,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,ES,2017,484.444,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,ES,2018,478.760,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,ES,2019,373.251,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,ES,2020,343.639,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EU27_2020,2011,26909.759,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EU27_2020,2012,25958.088,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EU27_2020,2013,24802.204,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EU27_2020,2014,23230.945,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EU27_2020,2015,23493.357,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EU27_2020,2016,23727.797,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EU27_2020,2017,23901.383,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EU27_2020,2018,22611.771,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EU27_2020,2019,19790.377,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EU27_2020,2020,18959.021,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FI,2011,211.878,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FI,2012,105.720,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FI,2013,106.229,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FI,2014,104.011,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FI,2015,108.868,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FI,2016,138.803,
